X,Y,VDC_NAME,OCHA_VNAME,HLCIT_CODE
85.27772278,27.46684348,Pyutar,Pyutar,524 2 05 25 5 007
85.30391236,27.6509082,Sairbu,Sainbu,524 2 05 25 5 033
85.33435497,27.50884826,Sangkhu,Sankhu,524 2 05 25 5 013
85.3569136,27.64299597,Siddhipur,Siddhipur,524 2 05 25 5 031
85.31746979,27.63474855,Sunakothi,Sunakothi,524 2 05 25 5 035
85.3500063,27.62227134,Thaiba,Thaiba,524 2 05 25 5 036
85.31949919,27.61738284,Thecho,Thecho,524 2 05 25 5 039
85.39659219,27.4427159,Thuladurlung,Thuladurlung,524 2 05 25 5 019
85.3606489,27.65745631,Tikathali,Tikathali,524 2 05 25 5 030
85.48545941,27.69568277,Bageshwari,Bageswori,524 2 05 26 5 003
85.37408941,27.66585572,Balkot,Balkot,524 2 05 26 5 009
85.42947851,27.67514183,Bhaktapur Municipality,Bhaktapur N.P.,524 2 05 26 3 001
85.43205442,27.71643927,Changunarayan,Changunarayan,524 2 05 26 5 006
85.45455299,27.70434592,Chhaling,Chhaling,524 2 05 26 5 005
85.47178025,27.6535798,Chitapol,Chitapol,524 2 05 26 5 016
85.3958788,27.64924184,Dadhikot,Dadhikot,524 2 05 26 5 011
85.40956611,27.69475723,Duwakot,Duwakot,524 2 05 26 5 007
85.41617039,27.64076277,Gundu,Gundu,524 2 05 26 5 013
85.4278,27.69252181,Jhaukhel,Jhaukhel,524 2 05 26 5 008
85.40913165,27.66402202,Katunje,Kautunje,524 2 05 26 5 012
85.38139816,27.6826324,Madhyapur Thimi Municipality,Madhyapur Thimi N.P.,524 2 05 26 3 002
85.50073381,27.71431099,Nagarkot,Nagarkot,524 2 05 26 5 004
85.45735371,27.64294496,Nangkhel,Nankhel,524 2 05 26 5 014
85.43544906,27.64622405,Sipadol,Sipadol,524 2 05 26 5 015
85.38078885,27.65194217,Sirutar,Sirutar,524 2 05 26 5 010
85.48051748,27.68317334,Sudal,Sudal,524 2 05 26 5 002
85.47283594,27.6678626,Tathali,Tathali,524 2 05 26 5 001
85.42871365,27.74755672,Alapot,Aalapot,524 2 05 27 5 011
85.20744438,27.70716574,Badbhanjyang,BaadBhanjyang,524 2 05 27 5 042
85.46173194,27.74360028,Sangkhu Bajrayogini,Bajrayogini(Sankhu),524 2 05 27 5 003
85.2486642,27.69485773,Balambu,Balambu,524 2 05 27 5 045
85.38935151,27.7654662,Baluwa,Baluwa,524 2 05 27 5 022
85.42220347,27.73820531,Bhadrabas,Bhadrabas,524 2 05 27 5 007
85.23511935,27.73344828,Bhimdhunga,Bhimdhunga,524 2 05 27 5 037
85.35887387,27.79092402,Budhanilkantha,Budanilkantha,524 2 05 27 5 019
85.271661,27.64279341,Chalnakhel,Chalnakhel,524 2 05 27 5 050
85.37504786,27.78276333,Chapali Bhadrakali,ChapaliBhadrakali,524 2 05 27 5 018
85.25965848,27.58838748,Chhaimale,Chhaimale,524 2 05 27 5 055
85.22975848,27.70932523,Dahachok,ChouketarDahachok,524 2 05 27 5 040
85.37194542,27.75872464,Chunikhel,Chunikhel,524 2 05 27 5 016
85.41214598,27.72806769,Thalidanchhi,Daanchhi,524 2 05 27 5 008
85.27205173,27.60412517,Dakshinkali,Daxinkali,524 2 05 27 5 054
85.32870285,27.74754002,Dhapasi,Dhapasi,524 2 05 27 5 027
85.29826769,27.76292632,Dharmasthali,Dharmasthali,524 2 05 27 5 034
85.31275005,27.76726732,Phutung,Futung,524 2 05 27 5 031
85.44698627,27.75840367,Gagal Phedi,Gagalphedi,524 2 05 27 5 013
