hlcit,impl_ag,src_ag,vdc,action,desc,target,no_actions,no_hh,ave_cost
524 2 05 27 5 050,AWO International e. V,,Chalnakhel,Distribution,Tool kits and fixings,,12,0,
524 2 05 27 5 055,AWO International e. V,,Chhaimale,Distribution,Tarpaulin,,100,100,
524 2 05 27 5 055,AWO International e. V,,Chhaimale,Distribution,CGI Bundle,,40,0,
524 2 05 27 5 055,AWO International e. V,,Chhaimale,Distribution,Tool kits and fixings,,8,0,
524 2 05 27 5 054,AWO International e. V,,Dakshinkali,Distribution,Tarpaulin,,100,100,
524 2 05 27 5 054,AWO International e. V,,Dakshinkali,Distribution,CGI Bundle,,31,0,
524 2 05 27 5 054,AWO International e. V,,Dakshinkali,Distribution,Tool kits and fixings,,6,0,
524 2 05 27 5 024,AWO International e. V,,Jhormahangkal,Distribution,Tarpaulin,,100,100,
524 2 05 27 5 024,AWO International e. V,,Jhormahangkal,Distribution,CGI Bundle,,139,0,
524 2 05 27 5 024,AWO International e. V,,Jhormahangkal,Distribution,Tool kits and fixings,,28,0,
524 2 05 27 5 031,AWO International e. V,,Phutung,Distribution,Tarpaulin,,100,100,
524 2 05 27 5 031,AWO International e. V,,Phutung,Distribution,CGI Bundle,,152,0,
524 2 05 27 5 031,AWO International e. V,,Phutung,Distribution,Tool kits and fixings,,30,0,
524 2 05 27 5 030,AWO International e. V,,Sangla,Distribution,Tarpaulin,,250,250,
524 2 05 27 5 030,AWO International e. V,,Sangla,Distribution,CGI Bundle,,127,0,
524 2 05 27 5 030,AWO International e. V,,Sangla,Distribution,Tool kits and fixings,,25,0,
524 2 05 27 5 051,AWO International e. V,,Talkudunde Chaur,Distribution,Tarpaulin,,100,100,
524 2 05 27 5 051,AWO International e. V,,Talkudunde Chaur,Distribution,CGI Bundle,,9,0,
524 2 05 27 5 051,AWO International e. V,,Talkudunde Chaur,Distribution,Tool kits and fixings,,2,0,
524 3 09 47 5 010,AWO International e. V,,Bulingtar,Distribution,Blankets,,21,21,
524 3 09 47 5 010,AWO International e. V,,Bulingtar,Distribution,Tarpaulin,,21,21,
524 3 09 47 5 010,AWO International e. V,,Bulingtar,Distribution,Tool kits and fixings,,4,4,
524 3 09 47 5 010,AWO International e. V,,Bulingtar,Distribution,CGI Bundle,,32,0,
524 3 09 47 5 010,AWO International e. V,,Bulingtar,Distribution,Construction Materials,,32,0,
524 3 09 47 5 011,AWO International e. V,,Dandajheritadi,Distribution,Blankets,,30,30,
524 3 09 47 5 011,AWO International e. V,,Dandajheritadi,Distribution,Tarpaulin,,30,30,
524 3 09 47 5 011,AWO International e. V,,Dandajheritadi,Distribution,Tool kits and fixings,,6,6,
524 3 09 47 5 011,AWO International e. V,,Dandajheritadi,Distribution,CGI Bundle,,32,0,
524 3 09 47 5 011,AWO International e. V,,Dandajheritadi,Distribution,Construction Materials,,32,0,
524 3 09 47 5 013,AWO International e. V,,Gaindakot,Distribution,Blankets,,3,3,
524 3 09 47 5 013,AWO International e. V,,Gaindakot,Distribution,Tarpaulin,,3,3,
