hlcit,impl_ag,src_ag,vdc,action,desc,target,no_actions,no_hh,ave_cost
524 3 07 37 5 014,CARE,IOM,Pachok,Distribution,Tarpaulin,,518,259,
524 3 07 37 5 014,CARE,,Pachok,Distribution,Tarpaulin,,96,48,
524 3 07 37 5 047,CARE,,Ramgha,Distribution,Blankets,,346,173,
524 3 07 37 5 047,CARE,IOM,Ramgha,Distribution,CGI Bundle (72ft/bundle),Targeted group,240,0,
524 3 07 37 5 047,CARE,,Ramgha,Distribution,Tool kits and fixings,Targeted group,120,0,
524 3 07 37 5 047,CARE,,Ramgha,Distribution,Tool kits and fixings,Targeted group,24,0,
524 3 07 37 5 047,CARE,,Ramgha,Training,Community Training,Targeted group,486,243,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tarpaulin,All / Blanket,740,740,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle (72ft/bundle),All / Blanket,266,133,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tool kits and fixings,All / Blanket,133,133,0
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle (72ft/bundle),All / Blanket,272,137,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tool kits and fixings,All / Blanket,137,137,0
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle (72ft/bundle),All / Blanket,114,57,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tool kits and fixings,All / Blanket,57,57,0
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle (72ft/bundle),All / Blanket,42,21,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tool kits and fixings,All / Blanket,21,21,0
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle (72ft/bundle),All / Blanket,38,19,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tool kits and fixings,All / Blanket,19,19,0
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle (72ft/bundle),All / Blanket,56,28,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tool kits and fixings,All / Blanket,28,28,0
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle (72ft/bundle),All / Blanket,28,14,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tool kits and fixings,All / Blanket,14,14,0
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle (72ft/bundle),All / Blanket,210,105,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tool kits and fixings,All / Blanket,105,105,0
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,All / Blanket,100,100,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tarpaulin,All / Blanket,1004,570,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Household kits (excluding tarpaulins),All / Blanket,434,434,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Household kits (excluding tarpaulins),All / Blanket,136,136,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,All / Blanket,35,35,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,All / Blanket,81,81,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,All / Blanket,39,39,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,All / Blanket,51,51,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,All / Blanket,57,57,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,All / Blanket,78,78,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,All / Blanket,81,81,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,All / Blanket,47,47,
524 2 05 23 5 069,CARE,,Bhotang,Distribution,Tarpaulin,All / Blanket,1568,784,
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,Tarpaulin,,3572,1786,
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,CGI Bundle (72ft/bundle),All / Blanket,304,152,
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,Tool kits and fixings,All / Blanket,152,152,0
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,CGI Bundle (72ft/bundle),All / Blanket,486,243,
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,Tool kits and fixings,All / Blanket,243,243,0
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,CGI Bundle (72ft/bundle),All / Blanket,694,347,
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,Tool kits and fixings,All / Blanket,347,347,0
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,CGI Bundle (72ft/bundle),All / Blanket,384,192,
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,Tool kits and fixings,All / Blanket,192,192,0
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,CGI Bundle (72ft/bundle),All / Blanket,542,271,0
524 2 05 23 5 055,CARE,,Dubachaur,Distribution,Tool kits and fixings,All / Blanket,271,271,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,CGI Bundle (72ft/bundle),All / Blanket,308,154,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,Tool kits and fixings,All / Blanket,154,154,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,CGI Bundle (72ft/bundle),All / Blanket,256,128,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,Tool kits and fixings,All / Blanket,128,128,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,CGI Bundle (72ft/bundle),All / Blanket,140,70,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,CGI Bundle (72ft/bundle),All / Blanket,84,42,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,CGI Bundle (72ft/bundle),All / Blanket,124,62,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,Tool kits and fixings,All / Blanket,70,70,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,Tool kits and fixings,All / Blanket,42,42,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,Tool kits and fixings,All / Blanket,62,62,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,CGI Bundle (72ft/bundle),All / Blanket,200,100,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,Tool kits and fixings,All / Blanket,100,100,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,CGI Bundle (72ft/bundle),All / Blanket,128,64,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,Tool kits and fixings,All / Blanket,64,64,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,CGI Bundle (72ft/bundle),All / Blanket,164,82,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,Tool kits and fixings,All / Blanket,82,82,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,CGI Bundle (72ft/bundle),All / Blanket,120,60,0
524 2 05 23 5 076,CARE,,Lagarche,Distribution,Tool kits and fixings,All / Blanket,60,60,0
524 2 05 23 5 062,CARE,,Sindhukot,Distribution,Tarpaulin,All / Blanket,1680,840,
