"","p_code","vdc","hazard","exposure","housing","poverty","vulnerability","severity","sev_norm","sev_cat","hlcit","lon","lat","pop_density","hc_cnt","hc_wt_cnt","hazard_score","dist_epicenter"
"2337","W-LUM-46-030","Digam",0.002349209,0.046163167,6.738115437,3.333333333,5.035724385,0.081738447,0.167639108,"Lowest",524309515036,83.37298734,27.97475246,307.99,2,7,4.8,208.991449527984
"2338","W-LUM-46-071","Shantipur",0.002723167,0.039622616,6.738115437,3.333333333,5.035724385,0.081600559,0.167356311,"Lowest",524309515008,83.43149205,28.11425425,268.24,2,4,4.8,204.856618917252
"2339","W-DHA-44-038","Nagliwang",0.004162574,0.028202281,6.752787046,2.478632479,4.615709762,0.08152577,0.167202925,"Lowest",524308425004,83.61871011,28.28531115,248.59,1,1,4.7,190.588142406846
"2340","E-KOS-05-060","Tandi",0.000810323,0.096447497,5.098350931,8.766788767,6.932569849,0.081523171,0.167197593,"Lowest",524102055018,87.61990659,26.78317122,181.58,1,1,6.4,240.635939912897
"2341","E-SAG-13-053","Nerpa",0.003917669,0.030847206,4.999627576,3.959096459,4.479362018,0.081499183,0.167148397,"Lowest",524103125027,86.82715559,27.24699511,189.33,1,1,5.5,147.01450508202
"2342","W-LUM-46-017","Bhurtung",0.002723612,0.039438087,6.738115437,3.333333333,5.035724385,0.081478126,0.16710521,"Lowest",524309515019,83.51884726,28.10279523,252.01,1,2,4.8,196.194750503126
"2343","W-LUM-47-035","Kachal",0.003554756,0.037920843,5.31827831,2.664835165,3.991556738,0.081334856,0.166811373,"Lowest",524309465061,83.37837916,27.7796918,83.87,1,1,4.9,208.218769308056
"2344","W-LUM-46-007","Arkhale",0.001713572,0.062289008,6.738115437,3.333333333,5.035724385,0.08130649,0.166753199,"Lowest",524309515026,83.24623039,28.08962691,252.89,1,1,4.6,222.529168913605
"2345","W-LUM-47-052","Rahabas",0.005732856,0.023445517,5.31827831,2.664835165,3.991556738,0.081256425,0.166650518,"Lowest",524309465022,83.70475931,27.73436965,94.66,1,1,5.1,176.439586404763
"2346","E-SAG-13-058","Phedi",0.003572186,0.033461376,4.999627576,3.959096459,4.479362018,0.081201614,0.166538106,"Lowest",524103125013,86.93168308,27.30932524,56.01,1,1,5.5,153.461428619329
"2347","W-GAN-39-003","Aruchaur",0.003498779,0.030303869,5.197232131,4.877899878,5.037566005,0.081135658,0.166402835,"Lowest",524307415025,83.72795042,28.12838622,268.35,1,1,7.1,176.39077319809
"2348","E-SAG-13-038","Kharmi",0.003308149,0.035870513,4.999627576,3.959096459,4.479362018,0.081005211,0.166135299,"Lowest",524103125011,86.81092066,27.2864436,145.7,1,1,5.4,143.631343310947
"2349","E-SAG-13-011","Batase",0.002901833,0.040770801,4.999627576,3.959096459,4.479362018,0.080924356,0.165969471,"Lowest",524103125053,86.74304926,27.07173296,106.84,1,1,5.4,149.922090254318
"2350","W-DHA-44-052","Thulipokhari",0.004595356,0.024921754,6.752787046,2.478632479,4.615709762,0.080855972,0.165829221,"Lowest",524308425023,83.72780413,28.20365719,374.9,1,3,4.7,178.057554827245
