vdc,hazard,exposure,housing,poverty,vulnerability,severity,sev_norm,sev_cat
SarikhetPalase,1.752231893,0.086021572,4.990112867,3.644688645,4.317400756,0.866576895,1.777280859,High
Korak,2.434770554,0.067148289,5.37928052,2.533577534,3.956429027,0.864832743,1.773703741,High
Goldhunga,0.726391333,0.165810142,8.863975701,1.816239316,5.340107508,0.86319831,1.770351648,High
Chyngli,1.678348231,0.064441854,6.441465148,5.213675214,5.827570181,0.857391562,1.758442466,High
Bhumlichok,2.966297997,0.036342089,6.441465148,5.213675214,5.827570181,0.856454037,1.756519675,High
Kathar,1.596482017,0.099399971,5.37928052,2.533577534,3.956429027,0.856284119,1.756171187,High
BhartaPundyadevi,3.384642926,0.042739117,4.990112867,3.644688645,4.317400756,0.854778499,1.753083279,High
KusesworDumja,2.076607661,0.050981441,5.191504838,6.547619048,5.869561943,0.853343892,1.750141013,High
Makwanpurgadhi,1.091223112,0.131282594,4.990112867,3.644688645,4.317400756,0.85201588,1.747417365,High
Dandakharka,3.45658584,0.041221873,4.990112867,3.644688645,4.317400756,0.850483341,1.74427425,High
Basamadi,0.81134154,0.175610716,4.990112867,3.644688645,4.317400756,0.850470061,1.744247013,High
Lakhanpur,1.456965323,0.063652477,7.160041941,6.059218559,6.60963025,0.849468405,1.742192696,High
Fakhel,3.044861862,0.046378452,4.990112867,3.644688645,4.317400756,0.847947053,1.739072522,High
Bastipur,3.253809468,0.031052239,5.191504838,6.547619048,5.869561943,0.84016305,1.723108147,High
Dhunkharka,2.407310798,0.050397098,6.45603317,3.308913309,4.88247324,0.839832197,1.722429593,Medium-High
Fujel,2.109987101,0.048121232,6.441465148,5.213675214,5.827570181,0.839527029,1.721803718,Medium-High
Katunje,1.630961478,0.060546228,6.817638797,5.152625153,5.985131975,0.839205219,1.721143711,Medium-High
KavreNitya Chandeswor,2.391676992,0.050509866,6.45603317,3.308913309,4.88247324,0.838634781,1.719973788,Medium-High
Markhu,4.285668869,0.031482809,4.990112867,3.644688645,4.317400756,0.835163453,1.712854367,Medium-High
Byas N. P.,0.252083819,0.439785413,6.434894278,4.044566545,5.239730411,0.834381969,1.711251606,Medium-High
Okharpauwa,1.209412884,0.080998264,5.913504002,5.848595849,5.881049925,0.832086335,1.706543442,Medium-High
Thaiba,1.474004117,0.084688857,8.404832734,0.818070818,4.611451776,0.831867608,1.70609485,Medium-High
Bhimkhori,2.067184893,0.056630099,6.45603317,3.308913309,4.88247324,0.829893134,1.70204536,Medium-High
Sunakothi,1.195410174,0.103459623,8.404832734,0.818070818,4.611451776,0.829293963,1.700816507,Medium-High
Deurali,4.237018637,0.025618866,6.434894278,4.044566545,5.239730411,0.828532868,1.69925556,Medium-High
Machchhegaun,1.85567574,0.062637564,6.45603317,3.308913309,4.88247324,0.827927436,1.698013867,Medium-High
Ghairung,2.374845794,0.040904072,6.441465148,5.213675214,5.827570181,0.827236759,1.696597344,Medium-High
Methinkot,2.39442541,0.048398026,6.45603317,3.308913309,4.88247324,0.827096682,1.696310056,Medium-High
Jiling,1.487273481,0.064441854,5.913504002,5.848595849,5.881049925,0.826046654,1.694156531,Medium-High
Taruka,1.771130141,0.05364687,5.913504002,5.848595849,5.881049925,0.823663666,1.689269212,Medium-High
Bachhyauli,1.253852067,0.111794213,5.37928052,2.533577534,3.956429027,0.821592249,1.685020899,Medium-High
KhadagBhanjyang,1.488719427,0.063211657,5.913504002,5.848595849,5.881049925,0.821022321,1.683852022,Medium-High
Jhaukhel,1.532984886,0.079152968,8.226716181,0.894383394,4.560549788,0.820995467,1.683796946,Medium-High
Nankhel,2.146729722,0.056476324,8.226716181,0.894383394,4.560549788,0.82076784,1.683330101,Medium-High
Bakrang,3.06317062,0.030949723,6.441465148,5.213675214,5.827570181,0.820550198,1.682883735,Medium-High
Thansing,1.49003098,0.062801591,5.913504002,5.848595849,5.881049925,0.819483605,1.680696236,Medium-High
Budhakhani,2.760409509,0.040401742,6.45603317,3.308913309,4.88247324,0.816590815,1.674763352,Medium-High
Khairang,3.602725361,0.034742832,4.990112867,3.644688645,4.317400756,0.814528429,1.67053356,Medium-High
Lalbandi,0.574973873,0.149499771,4.208451337,8.351648352,6.280049845,0.814236518,1.669934873,Medium-High
Rayalebhir,2.496936519,0.044102586,6.45603317,3.308913309,4.88247324,0.813149645,1.667705783,Medium-High
Nibuwatar,2.852186442,0.043661765,4.990112867,3.644688645,4.317400756,0.813143488,1.667693157,Medium-High
Khari,1.996593914,0.044912466,6.817638797,5.152625153,5.985131975,0.812662325,1.666706328,Medium-High
TukuchaNala,2.179732734,0.050304833,6.45603317,3.308913309,4.88247324,0.811990489,1.665328446,Medium-High
NaikapNayaBhanjyang,1.227517068,0.081439085,8.863975701,1.816239316,5.340107508,0.811216562,1.663741183,Medium-High
Betini,3.59038097,0.03435327,4.990112867,3.644688645,4.317400756,0.81054474,1.662363329,Medium-High
Dhuwakot,2.083191629,0.043661765,6.441465148,5.213675214,5.827570181,0.809293418,1.659796967,Medium-High
Nayapati,1.333595534,0.074396204,8.863975701,1.816239316,5.340107508,0.809173471,1.659550964,Medium-High
HokseBazar,2.29151623,0.047290848,6.45603317,3.308913309,4.88247324,0.808810235,1.658805996,Medium-High
Ishworpur,0.389133329,0.215633147,4.208451337,8.351648352,6.280049845,0.80771661,1.656563057,Medium-High
ThuloSirubari,1.277102276,0.061376612,6.852053081,6.572039072,6.712046076,0.807286777,1.655681504,Medium-High
Bethan,1.665400901,0.047506133,7.160041941,6.059218559,6.60963025,0.805653962,1.652332728,Medium-High
Pakarbas,1.206149173,0.065528529,7.160041941,6.059218559,6.60963025,0.805383761,1.651778568,Medium-High
Gitanagar,0.91977832,0.142795194,5.37928052,2.533577534,3.956429027,0.803958033,1.648854513,Medium-High
SimalchourSyampati,2.710123857,0.039151041,6.45603317,3.308913309,4.88247324,0.803139107,1.64717496,Medium-High
Kakani,1.165729139,0.075042057,5.913504002,5.848595849,5.881049925,0.801282671,1.643367555,Medium-High
Dhola,2.075939696,0.041344893,6.817638797,5.152625153,5.985131975,0.800884913,1.642551786,Medium-High
Satungal,0.897090288,0.107150216,8.863975701,1.816239316,5.340107508,0.800681393,1.642134382,Medium-High
Charghare,1.570070336,0.055553676,5.913504002,5.848595849,5.881049925,0.800501701,1.641765847,Medium-High
MathurapatiFulbari,2.266774388,0.045701843,6.45603317,3.308913309,4.88247324,0.796759581,1.634091055,Medium-High
Thingan,2.666872977,0.043774533,4.990112867,3.644688645,4.317400756,0.795821021,1.632166143,Medium-High
Ghartichhap,3.830886438,0.026777302,6.45603317,3.308913309,4.88247324,0.794148996,1.628736951,Medium-High
Siddi,3.222245771,0.039233054,5.37928052,2.533577534,3.956429027,0.793788346,1.627997286,Medium-High
Talkududechour,3.190890152,0.029299208,8.863975701,1.816239316,5.340107508,0.793303268,1.627002429,Medium-High
Tanglichok,2.479974464,0.034537799,6.441465148,5.213675214,5.827570181,0.793249477,1.626892109,Medium-High
Khanalthok,2.111725386,0.048254503,6.45603317,3.308913309,4.88247324,0.792388908,1.625127148,Medium-High
Maisthan,0.747603334,0.102742008,4.32799056,8.623321123,6.475655842,0.792320719,1.6249873,Medium-High
Choutara,1.210245805,0.061017804,6.852053081,6.572039072,6.712046076,0.791398148,1.623095179,Medium-High
Badegau,1.330488958,0.054877067,6.852053081,6.572039072,6.712046076,0.788410439,1.616967624,Medium-High
Mukundapur,0.804756152,0.133548208,5.60905413,3.507326007,4.558190069,0.788312234,1.616766213,Medium-High
NarayanKhola,1.76391252,0.044194851,4.208451337,8.351648352,6.280049845,0.788141028,1.616415082,Medium-High
Lisankhu,1.882940702,0.038689716,6.852053081,6.572039072,6.712046076,0.787823697,1.615764262,Medium-High
Matatirtha,1.492221653,0.061325353,8.863975701,1.816239316,5.340107508,0.787664247,1.615437242,Medium-High
Tandrang,1.93176817,0.043272203,6.441465148,5.213675214,5.827570181,0.786835309,1.613737156,Medium-High
Masel,2.122150252,0.039233054,6.441465148,5.213675214,5.827570181,0.785787746,1.611588686,Medium-High
AaruChanuate,1.873839023,0.044358877,6.441465148,5.213675214,5.827570181,0.785356386,1.610704,Medium-High
Milche,3.575102189,0.027607686,6.45603317,3.308913309,4.88247324,0.784006107,1.607934685,Medium-High
Kalinjor,1.388951663,0.055235875,4.208451337,8.351648352,6.280049845,0.783953832,1.607827473,Medium-High
KholegaunKhanigau,1.497515109,0.054641279,5.913504002,5.848595849,5.881049925,0.783638287,1.607180315,Medium-High
Saldhara,3.630410485,0.027125858,6.45603317,3.308913309,4.88247324,0.783417073,1.606726623,Medium-High
Dhuwakot,1.644422712,0.048818344,6.817638797,5.152625153,5.985131975,0.783231382,1.606345785,Medium-High
Chhampi,2.13414683,0.048726079,8.404832734,0.818070818,4.611451776,0.782722487,1.605302082,Medium-High
GunsiBhadaure,1.505043438,0.048203245,7.160041941,6.059218559,6.60963025,0.782709897,1.605276261,Medium-High
Tamajor,3.387267635,0.024050364,5.191504838,6.547619048,5.869561943,0.781973953,1.603766898,Medium-High
Samari,1.485695165,0.054374737,5.913504002,5.848595849,5.881049925,0.780298157,1.600329972,Medium-High
Badikhel,2.807605434,0.03665989,8.404832734,0.818070818,4.611451776,0.780048553,1.599818055,Medium-High
ChalalGaneshsthan,2.38243547,0.040729794,6.45603317,3.308913309,4.88247324,0.779574715,1.598846251,Medium-High
Chaughada,1.431485677,0.056179027,5.913504002,5.848595849,5.881049925,0.779121809,1.597917375,Medium-High
Patalekhet,2.349913703,0.041098854,6.45603317,3.308913309,4.88247324,0.778348031,1.596330418,Medium-High
