"","hazard","exposure","housing","poverty","vulnerability","severity","degree"
"1232",2.64460094,0.146424277,6.45603317,3.308913309,4.88247324,1.236529179,0
"1243",1.882940702,0.038689716,6.852053081,6.572039072,6.712046076,0.787823697,118
"1247",0.636751203,0.033799681,6.852053081,6.572039072,6.712046076,0.524701655,276
"1249",0.332804486,0.020944115,7.531331947,5.860805861,6.696068904,0.360045207,0
"1251",0.313109526,0.022112803,7.531331947,5.860805861,6.696068904,0.359241635,35
"1253",0.531843542,0.037551784,7.531331947,5.860805861,6.696068904,0.511381239,0
"1255",0.86491574,0.231041373,7.531331947,5.860805861,6.696068904,1.101948142,0
"1257",1.222044929,0.048490291,7.160041941,6.059218559,6.60963025,0.731655054,443
"1259",0.916185861,0.021302923,7.160041941,6.059218559,6.60963025,0.505281404,394
"1261",0.508148826,0.024255397,7.160041941,6.059218559,6.60963025,0.433503054,218
"1263",3.387267635,0.024050364,5.191504838,6.547619048,5.869561943,0.781973953,191
"1265",5.247247867,0.027935739,5.191504838,6.547619048,5.869561943,0.951113784,99
"1267",3.795941568,0.0348556,5.191504838,6.547619048,5.869561943,0.919177233,245
"1269",1.641380625,0.0481314835,4.124195833,7.2603785105,5.692287172,0.5292633335,99
"1271",4.822834095,0.023178974,5.191504838,6.547619048,5.869561943,0.868961914,222
"1273",2.039857595,0.077953525,5.191504838,6.547619048,5.869561943,0.977268198,293
"1275",3.2951841,0.061663658,5.191504838,6.547619048,5.869561943,1.060485868,293
"1277",3.938683537,0.048633814,5.191504838,6.547619048,5.869561943,1.039836449,353
"1279",0.074398342,0.083099852,5.191504838,6.547619048,5.869561943,0.331072467,99
"1281",0.362458435,0.032805271,5.191504838,6.547619048,5.869561943,0.411720518,353
"1283",0.029866071,0.016689682,6.218955197,5.83028083,6.024618014,0.144273053,114
"1285",0.050359129,0.031041988,6.218955197,5.83028083,6.024618014,0.21117982,165
"1287",0.047176301,0.027710202,6.218955197,5.83028083,6.024618014,0.198959357,202
"1289",0.048781459,0.020954367,6.218955197,5.83028083,6.024618014,0.183295984,335
"1292",0.02424977,0.0234608945,5.658653064,7.2985347985,6.4785939315,0.1152796405,99
"1294",0.00942573266666667,0.0311786763333333,7.460674444,7.54273504233333,7.50170474366667,0.060473461,49
"1296",0.051387444,0.015572252,6.218955197,5.83028083,6.024618014,0.168932284,44
